Job_Role,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Access_to_Mental_Health_Resources,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,meetings_per_hour
Data Scientist,30,11,3,3,0,Unsatisfied,5,,1,0.36666666666666664
Project Manager,48,3,5,1,1,Satisfied,1,1.0,2,0.0625
Project Manager,44,13,1,3,1,Satisfied,5,1.0,1,0.29545454545454547
Project Manager,49,15,5,1,1,Neutral,4,,1,0.30612244897959184
Designer,23,0,5,3,0,Unsatisfied,1,1.0,1,0.0
Designer,33,6,5,1,0,Satisfied,2,2.0,3,0.18181818181818182
HR,35,15,5,3,0,Unsatisfied,2,2.0,2,0.42857142857142855
Marketing,41,8,3,2,1,Satisfied,4,1.0,1,0.1951219512195122
Software Engineer,34,12,2,1,0,Neutral,3,2.0,2,0.35294117647058826
Designer,44,10,1,1,1,Unsatisfied,5,2.0,2,0.22727272727272727
Designer,52,8,4,3,1,Satisfied,4,2.0,3,0.15384615384615385
Designer,57,11,2,1,1,Unsatisfied,3,1.0,3,0.19298245614035087
Software Engineer,32,15,3,3,1,Unsatisfied,3,1.0,2,0.46875
Designer,31,6,4,1,0,Satisfied,4,2.0,1,0.1935483870967742
Software Engineer,58,15,1,2,0,Unsatisfied,2,1.0,1,0.25862068965517243
Data Scientist,26,9,1,2,1,Unsatisfied,2,,1,0.34615384615384615
Software Engineer,57,5,1,1,1,Unsatisfied,4,1.0,2,0.08771929824561403
Project Manager,20,8,1,1,0,Neutral,1,,3,0.4
Project Manager,26,0,4,3,0,Satisfied,2,1.0,2,0.0
Data Scientist,43,15,3,3,0,Neutral,3,1.0,3,0.3488372093023256
Designer,50,14,3,1,1,Unsatisfied,3,2.0,2,0.28
Software Engineer,52,0,5,3,0,Satisfied,3,1.0,3,0.0
Marketing,37,1,4,2,0,Satisfied,1,,2,0.02702702702702703
Data Scientist,38,0,3,3,1,Neutral,1,,2,0.0
Designer,55,11,1,3,0,Unsatisfied,2,1.0,1,0.2
Data Scientist,53,14,1,2,0,Neutral,1,1.0,2,0.2641509433962264
Software Engineer,20,13,1,2,0,Neutral,1,,3,0.65
Software Engineer,46,1,2,1,1,Neutral,5,2.0,1,0.021739130434782608
Software Engineer,30,8,2,1,1,Satisfied,2,,2,0.26666666666666666
Software Engineer,50,8,2,3,0,Satisfied,3,2.0,1,0.16
HR,50,13,2,2,1,Satisfied,2,2.0,2,0.26
Project Manager,50,0,1,1,1,Satisfied,3,2.0,1,0.0
Designer,23,7,1,1,0,Neutral,3,,1,0.30434782608695654
Data Scientist,45,3,4,2,0,Unsatisfied,4,,3,0.06666666666666667
Software Engineer,25,4,1,2,0,Satisfied,3,1.0,3,0.16
Designer,36,9,2,3,1,Neutral,4,1.0,3,0.25
HR,60,3,2,1,1,Unsatisfied,5,2.0,3,0.05
Project Manager,35,7,3,1,1,Satisfied,4,2.0,2,0.2
Marketing,55,12,3,2,0,Satisfied,4,,3,0.21818181818181817
Project Manager,47,10,1,2,0,Neutral,2,1.0,3,0.2127659574468085
HR,57,10,4,3,0,Satisfied,4,,3,0.17543859649122806
HR,22,9,2,2,1,Unsatisfied,1,,3,0.4090909090909091
Data Scientist,43,5,1,2,1,Neutral,2,2.0,1,0.11627906976744186
Marketing,45,9,5,1,1,Unsatisfied,4,1.0,3,0.2
Designer,56,14,2,1,1,Satisfied,1,1.0,2,0.25
Data Scientist,46,14,3,3,0,Neutral,2,2.0,3,0.30434782608695654
HR,60,0,5,2,0,Neutral,2,2.0,3,0.0
Designer,32,9,1,2,0,Unsatisfied,1,,2,0.28125
HR,59,13,5,2,1,Unsatisfied,4,1.0,2,0.22033898305084745
Software Engineer,60,13,5,3,0,Neutral,5,2.0,3,0.21666666666666667
Data Scientist,43,4,5,3,0,Unsatisfied,3,1.0,2,0.09302325581395349
Data Scientist,33,8,1,1,1,Satisfied,2,,1,0.24242424242424243
Data Scientist,20,14,3,1,0,Satisfied,2,2.0,2,0.7
Software Engineer,27,2,1,2,1,Unsatisfied,3,1.0,1,0.07407407407407407
Software Engineer,43,1,5,2,0,Unsatisfied,2,1.0,2,0.023255813953488372
Sales,23,12,2,2,0,Neutral,1,2.0,2,0.5217391304347826
Data Scientist,29,0,1,2,0,Neutral,4,,3,0.0
Sales,47,0,2,2,0,Neutral,4,,1,0.0
Designer,46,12,1,1,1,Neutral,5,,3,0.2608695652173913
Marketing,40,2,1,1,1,Neutral,4,1.0,2,0.05
Project Manager,47,0,4,3,1,Unsatisfied,3,2.0,1,0.0
Data Scientist,53,7,3,3,0,Unsatisfied,2,2.0,2,0.1320754716981132
Sales,55,14,4,2,0,Neutral,1,2.0,2,0.2545454545454545
Sales,40,1,2,2,0,Neutral,3,1.0,3,0.025
Project Manager,28,8,5,1,0,Satisfied,1,,1,0.2857142857142857
Sales,39,14,3,1,0,Neutral,1,1.0,3,0.358974358974359
Software Engineer,41,5,5,2,0,Unsatisfied,2,,3,0.12195121951219512
Data Scientist,21,3,5,1,1,Satisfied,5,2.0,1,0.14285714285714285
Project Manager,34,11,3,1,1,Unsatisfied,5,2.0,3,0.3235294117647059
Designer,36,14,3,1,0,Unsatisfied,2,1.0,3,0.3888888888888889
Marketing,32,2,4,3,1,Satisfied,4,1.0,2,0.0625
Sales,21,8,2,2,0,Unsatisfied,5,,2,0.38095238095238093
Project Manager,56,3,5,3,1,Satisfied,4,2.0,1,0.05357142857142857
Marketing,58,8,4,1,0,Satisfied,4,,1,0.13793103448275862
Software Engineer,35,8,1,3,0,Satisfied,4,,3,0.22857142857142856
Project Manager,52,3,1,1,1,Satisfied,5,1.0,3,0.057692307692307696
Marketing,33,8,1,1,0,Neutral,4,2.0,2,0.24242424242424243
Software Engineer,47,9,2,2,0,Neutral,4,,3,0.19148936170212766
HR,56,13,3,2,0,Satisfied,4,,1,0.23214285714285715
Data Scientist,33,4,2,1,1,Neutral,2,2.0,2,0.12121212121212122
HR,60,9,3,1,0,Satisfied,4,1.0,2,0.15
Sales,32,5,4,1,0,Unsatisfied,1,1.0,3,0.15625
Project Manager,48,9,5,2,0,Satisfied,5,,3,0.1875
HR,39,6,4,3,0,Neutral,5,,2,0.15384615384615385
Software Engineer,23,6,3,3,1,Unsatisfied,2,1.0,3,0.2608695652173913
Marketing,38,3,3,3,1,Satisfied,1,,2,0.07894736842105263
Designer,30,5,1,1,0,Unsatisfied,2,2.0,2,0.16666666666666666
Software Engineer,35,3,1,1,1,Neutral,1,1.0,3,0.08571428571428572
Data Scientist,22,0,5,2,1,Satisfied,4,1.0,2,0.0
Project Manager,28,15,2,2,1,Satisfied,3,1.0,1,0.5357142857142857
Marketing,57,4,3,2,0,Neutral,5,1.0,3,0.07017543859649122
HR,48,14,2,1,1,Satisfied,1,1.0,3,0.2916666666666667
Marketing,45,14,1,2,0,Unsatisfied,4,2.0,2,0.3111111111111111
Marketing,34,3,4,1,0,Satisfied,2,1.0,1,0.08823529411764706
Marketing,59,9,5,1,0,Unsatisfied,2,1.0,1,0.15254237288135594
Software Engineer,31,6,3,3,1,Neutral,2,1.0,2,0.1935483870967742
Marketing,55,12,4,1,0,Neutral,5,2.0,1,0.21818181818181817
Data Scientist,23,11,2,1,0,Unsatisfied,4,,2,0.4782608695652174
HR,51,7,1,2,0,Neutral,1,1.0,2,0.13725490196078433
Software Engineer,32,11,5,2,1,Satisfied,4,2.0,2,0.34375
Marketing,41,14,5,1,1,Neutral,1,1.0,3,0.34146341463414637
Software Engineer,46,10,1,1,0,Neutral,1,2.0,1,0.21739130434782608
HR,58,15,4,3,0,Neutral,2,1.0,1,0.25862068965517243
Sales,59,13,2,3,1,Satisfied,3,1.0,1,0.22033898305084745
Project Manager,40,1,1,2,0,Neutral,4,1.0,3,0.025
Sales,56,3,2,3,0,Neutral,1,1.0,1,0.05357142857142857
Software Engineer,47,11,2,3,1,Neutral,3,1.0,1,0.23404255319148937
Project Manager,38,2,2,1,1,Satisfied,3,,3,0.05263157894736842
Data Scientist,59,12,5,1,0,Neutral,1,1.0,2,0.2033898305084746
Project Manager,47,4,1,2,1,Unsatisfied,4,,1,0.0851063829787234
HR,49,6,3,2,0,Neutral,5,,2,0.12244897959183673
Project Manager,20,6,5,1,1,Satisfied,2,1.0,1,0.3
Project Manager,50,9,1,3,1,Satisfied,2,1.0,3,0.18
Project Manager,32,0,4,3,1,Unsatisfied,1,1.0,3,0.0
Sales,23,8,3,1,1,Neutral,3,2.0,2,0.34782608695652173
HR,22,13,3,2,0,Unsatisfied,3,1.0,2,0.5909090909090909
Data Scientist,33,11,5,2,1,Neutral,2,2.0,3,0.3333333333333333
Project Manager,32,13,3,2,1,Unsatisfied,5,1.0,2,0.40625
Marketing,51,0,1,2,0,Unsatisfied,2,2.0,2,0.0
Designer,49,11,3,2,0,Satisfied,3,,1,0.22448979591836735
Data Scientist,30,9,1,2,0,Satisfied,3,2.0,2,0.3
Software Engineer,25,9,2,2,1,Neutral,5,1.0,2,0.36
Software Engineer,40,12,4,3,0,Neutral,3,1.0,1,0.3
Project Manager,32,13,1,1,0,Neutral,1,,3,0.40625
Sales,20,15,3,2,0,Neutral,2,,2,0.75
Project Manager,35,5,5,2,0,Neutral,5,2.0,1,0.14285714285714285
Sales,49,2,1,2,0,Satisfied,5,,2,0.04081632653061224
Sales,34,5,4,2,1,Satisfied,4,1.0,3,0.14705882352941177
Project Manager,58,13,3,2,0,Satisfied,5,,2,0.22413793103448276
HR,26,4,4,2,0,Unsatisfied,3,,2,0.15384615384615385
Marketing,36,7,4,2,0,Unsatisfied,3,,1,0.19444444444444445
Designer,48,3,4,3,1,Neutral,4,2.0,2,0.0625
HR,57,5,4,3,1,Satisfied,5,1.0,3,0.08771929824561403
HR,32,8,2,2,1,Satisfied,2,2.0,1,0.25
Marketing,55,7,4,2,1,Unsatisfied,4,,1,0.12727272727272726
Designer,28,3,3,3,0,Neutral,2,,3,0.10714285714285714
Sales,53,10,2,1,0,Satisfied,3,1.0,1,0.18867924528301888
Designer,36,10,4,1,1,Satisfied,4,2.0,3,0.2777777777777778
Sales,54,7,4,3,0,Satisfied,1,,2,0.12962962962962962
Marketing,33,8,3,1,0,Neutral,5,,1,0.24242424242424243
Designer,39,1,4,2,1,Unsatisfied,4,2.0,1,0.02564102564102564
Software Engineer,33,11,1,2,0,Satisfied,5,,3,0.3333333333333333
Software Engineer,48,4,1,1,1,Unsatisfied,1,1.0,2,0.08333333333333333
Designer,60,7,5,2,0,Satisfied,3,2.0,2,0.11666666666666667
Data Scientist,24,1,1,2,0,Neutral,4,,3,0.041666666666666664
Data Scientist,28,7,5,3,1,Unsatisfied,3,,2,0.25
Project Manager,20,14,2,1,0,Neutral,2,2.0,1,0.7
Project Manager,28,14,4,2,1,Unsatisfied,1,1.0,3,0.5
HR,48,12,4,2,0,Unsatisfied,2,,3,0.25
Sales,51,5,2,3,1,Neutral,1,,3,0.09803921568627451
Designer,39,5,4,1,0,Neutral,2,1.0,1,0.1282051282051282
Marketing,25,2,4,2,0,Neutral,2,,1,0.08
Sales,53,12,1,3,0,Satisfied,3,1.0,2,0.22641509433962265
HR,44,13,4,3,1,Neutral,1,,2,0.29545454545454547
Sales,31,3,3,2,1,Neutral,3,1.0,1,0.0967741935483871
Designer,58,2,5,1,1,Satisfied,3,1.0,2,0.034482758620689655
Marketing,26,5,4,1,0,Unsatisfied,4,1.0,2,0.19230769230769232
Data Scientist,20,4,3,1,1,Satisfied,3,,3,0.2
Marketing,28,14,3,1,0,Satisfied,2,,1,0.5
Sales,35,14,5,2,0,Neutral,5,,2,0.4
Marketing,30,14,2,1,0,Neutral,2,,3,0.4666666666666667
Data Scientist,28,0,1,1,0,Satisfied,2,,1,0.0
Designer,21,4,3,2,1,Neutral,3,2.0,2,0.19047619047619047
HR,56,13,2,2,1,Unsatisfied,5,2.0,1,0.23214285714285715
Software Engineer,25,10,3,3,0,Satisfied,2,,3,0.4
Software Engineer,21,0,1,3,1,Neutral,2,1.0,2,0.0
Project Manager,50,2,4,2,1,Satisfied,5,2.0,2,0.04
Data Scientist,50,3,5,3,1,Unsatisfied,5,1.0,3,0.06
Marketing,27,10,2,1,1,Unsatisfied,5,,2,0.37037037037037035
Software Engineer,31,14,4,2,1,Satisfied,2,1.0,2,0.45161290322580644
Designer,45,11,3,1,1,Satisfied,4,2.0,3,0.24444444444444444
Sales,23,8,2,2,1,Satisfied,2,2.0,1,0.34782608695652173
Designer,42,14,3,1,1,Neutral,1,1.0,3,0.3333333333333333
Data Scientist,37,8,1,2,0,Neutral,4,1.0,3,0.21621621621621623
Sales,40,7,5,1,1,Neutral,1,2.0,3,0.175
HR,23,1,3,3,1,Satisfied,5,1.0,3,0.043478260869565216
Marketing,20,3,3,2,1,Satisfied,4,,1,0.15
Designer,51,8,5,2,0,Neutral,5,1.0,1,0.1568627450980392
Marketing,46,1,2,1,1,Neutral,1,2.0,3,0.021739130434782608
HR,37,7,2,2,1,Unsatisfied,2,1.0,1,0.1891891891891892
Project Manager,42,4,2,1,0,Satisfied,5,,2,0.09523809523809523
HR,53,15,4,1,1,Neutral,2,1.0,3,0.2830188679245283
Marketing,26,0,2,1,1,Neutral,3,2.0,1,0.0
Marketing,48,9,3,2,0,Unsatisfied,5,,3,0.1875
Marketing,58,0,3,1,1,Neutral,5,,1,0.0
HR,52,7,1,2,1,Unsatisfied,2,2.0,1,0.1346153846153846
Marketing,52,13,4,3,0,Unsatisfied,1,,3,0.25
Designer,49,7,2,1,1,Satisfied,3,2.0,1,0.14285714285714285
Marketing,55,4,2,3,0,Satisfied,4,1.0,1,0.07272727272727272
Designer,33,0,2,3,1,Satisfied,3,1.0,2,0.0
HR,24,12,1,3,1,Neutral,4,2.0,1,0.5
Sales,21,15,5,1,1,Unsatisfied,5,,2,0.7142857142857143
Software Engineer,55,12,5,1,0,Satisfied,3,,3,0.21818181818181817
Sales,44,10,5,2,1,Satisfied,5,2.0,2,0.22727272727272727
Software Engineer,24,7,4,2,1,Neutral,4,,3,0.2916666666666667
Marketing,25,6,2,3,0,Unsatisfied,4,2.0,1,0.24
Designer,40,0,4,3,1,Satisfied,3,2.0,3,0.0
Sales,59,3,2,1,1,Satisfied,1,1.0,1,0.05084745762711865
Software Engineer,22,9,4,3,1,Unsatisfied,2,2.0,1,0.4090909090909091
Designer,47,15,5,2,0,Neutral,2,2.0,1,0.3191489361702128
Sales,31,15,2,1,0,Unsatisfied,1,,3,0.4838709677419355
Designer,41,5,5,3,0,Neutral,5,1.0,1,0.12195121951219512
Data Scientist,52,0,1,3,1,Unsatisfied,2,,3,0.0
HR,48,0,2,1,1,Satisfied,4,,3,0.0
Project Manager,41,14,5,2,1,Unsatisfied,3,,1,0.34146341463414637
Data Scientist,21,7,3,3,1,Satisfied,5,,2,0.3333333333333333
Software Engineer,49,15,2,1,0,Satisfied,4,2.0,1,0.30612244897959184
Software Engineer,32,7,4,3,0,Unsatisfied,5,,3,0.21875
Marketing,40,12,1,2,1,Unsatisfied,3,2.0,2,0.3
Sales,22,10,4,3,1,Unsatisfied,3,1.0,2,0.45454545454545453
Project Manager,44,9,3,1,1,Neutral,5,1.0,3,0.20454545454545456
HR,41,15,1,2,1,Unsatisfied,4,1.0,3,0.36585365853658536
Designer,37,11,1,3,1,Unsatisfied,2,1.0,2,0.2972972972972973
HR,54,12,3,2,0,Neutral,3,,2,0.2222222222222222
Software Engineer,31,3,1,1,0,Satisfied,2,,3,0.0967741935483871
Data Scientist,53,13,2,2,1,Unsatisfied,5,1.0,2,0.24528301886792453
Project Manager,23,13,5,2,1,Satisfied,3,2.0,2,0.5652173913043478
Sales,58,3,1,1,1,Satisfied,2,,3,0.05172413793103448
HR,26,7,1,1,0,Neutral,2,2.0,3,0.2692307692307692
Designer,46,7,3,2,1,Unsatisfied,3,2.0,1,0.15217391304347827
Sales,20,7,3,2,0,Neutral,4,1.0,2,0.35
HR,56,0,2,2,1,Satisfied,2,2.0,3,0.0
Sales,28,15,1,2,0,Satisfied,5,2.0,1,0.5357142857142857
Sales,39,2,1,2,1,Satisfied,5,,2,0.05128205128205128
Designer,22,10,4,2,1,Satisfied,4,,2,0.45454545454545453
Project Manager,32,4,3,3,1,Unsatisfied,2,1.0,3,0.125
Project Manager,28,9,1,1,0,Neutral,2,2.0,1,0.32142857142857145
Sales,22,6,4,2,0,Neutral,2,1.0,1,0.2727272727272727
Marketing,53,2,5,2,0,Neutral,2,,1,0.03773584905660377
Sales,33,11,2,2,0,Neutral,1,2.0,3,0.3333333333333333
Data Scientist,34,5,1,3,1,Satisfied,2,2.0,3,0.14705882352941177
Software Engineer,50,0,4,1,0,Neutral,5,2.0,3,0.0
Data Scientist,28,1,1,2,1,Satisfied,5,,2,0.03571428571428571
Marketing,51,7,4,2,0,Unsatisfied,4,1.0,3,0.13725490196078433
Software Engineer,35,0,5,3,0,Neutral,4,,3,0.0
Sales,39,8,3,2,1,Unsatisfied,2,1.0,2,0.20512820512820512
Software Engineer,58,14,1,3,1,Unsatisfied,3,2.0,1,0.2413793103448276
Designer,34,3,3,1,0,Neutral,2,2.0,3,0.08823529411764706
Designer,48,4,1,2,0,Neutral,4,,1,0.08333333333333333
Designer,52,0,5,3,0,Unsatisfied,5,2.0,3,0.0
Designer,59,8,5,3,1,Neutral,1,2.0,3,0.13559322033898305
