Employee_ID,Job_Role,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Access_to_Mental_Health_Resources,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality
EMP0130,Sales,35,2,3,1,1,Unsatisfied,3,,2
EMP0131,Designer,23,9,1,2,0,Neutral,5,1.0,3
EMP0132,Marketing,28,15,5,1,1,Unsatisfied,4,1.0,2
EMP0133,Marketing,57,10,3,2,0,Neutral,2,1.0,3
EMP0134,Marketing,29,4,1,1,1,Satisfied,2,1.0,3
EMP0135,Marketing,39,1,4,2,0,Unsatisfied,2,1.0,1
EMP0136,Marketing,46,4,5,2,0,Unsatisfied,5,,3
EMP0137,Data Scientist,26,9,2,3,0,Neutral,5,2.0,3
EMP0138,Sales,32,4,4,2,1,Satisfied,5,1.0,1
EMP0139,Data Scientist,30,11,3,3,0,Unsatisfied,5,,1
EMP0140,Project Manager,48,3,5,1,1,Satisfied,1,1.0,2
EMP0141,Project Manager,44,13,1,3,1,Satisfied,5,1.0,1
EMP0142,Project Manager,49,15,5,1,1,Neutral,4,,1
EMP0143,Designer,23,0,5,3,0,Unsatisfied,1,1.0,1
EMP0144,Designer,33,6,5,1,0,Satisfied,2,2.0,3
EMP0145,HR,35,15,5,3,0,Unsatisfied,2,2.0,2
EMP0146,Marketing,41,8,3,2,1,Satisfied,4,1.0,1
EMP0147,Software Engineer,34,12,2,1,0,Neutral,3,2.0,2
EMP0148,Designer,44,10,1,1,1,Unsatisfied,5,2.0,2
EMP0149,Designer,52,8,4,3,1,Satisfied,4,2.0,3
EMP0150,Designer,57,11,2,1,1,Unsatisfied,3,1.0,3
EMP0151,Software Engineer,32,15,3,3,1,Unsatisfied,3,1.0,2
EMP0152,Designer,31,6,4,1,0,Satisfied,4,2.0,1
EMP0153,Software Engineer,58,15,1,2,0,Unsatisfied,2,1.0,1
EMP0154,Data Scientist,26,9,1,2,1,Unsatisfied,2,,1
EMP0155,Software Engineer,57,5,1,1,1,Unsatisfied,4,1.0,2
EMP0156,Project Manager,20,8,1,1,0,Neutral,1,,3
EMP0157,Project Manager,26,0,4,3,0,Satisfied,2,1.0,2
EMP0158,Data Scientist,43,15,3,3,0,Neutral,3,1.0,3
EMP0159,Designer,50,14,3,1,1,Unsatisfied,3,2.0,2
EMP0160,Software Engineer,52,0,5,3,0,Satisfied,3,1.0,3
EMP0161,Marketing,37,1,4,2,0,Satisfied,1,,2
EMP0162,Data Scientist,38,0,3,3,1,Neutral,1,,2
EMP0163,Designer,55,11,1,3,0,Unsatisfied,2,1.0,1
EMP0164,Data Scientist,53,14,1,2,0,Neutral,1,1.0,2
EMP0165,Software Engineer,20,13,1,2,0,Neutral,1,,3
EMP0166,Software Engineer,46,1,2,1,1,Neutral,5,2.0,1
EMP0167,Software Engineer,30,8,2,1,1,Satisfied,2,,2
EMP0168,Software Engineer,50,8,2,3,0,Satisfied,3,2.0,1
EMP0169,HR,50,13,2,2,1,Satisfied,2,2.0,2
EMP0170,Project Manager,50,0,1,1,1,Satisfied,3,2.0,1
EMP0171,Designer,23,7,1,1,0,Neutral,3,,1
EMP0172,Data Scientist,45,3,4,2,0,Unsatisfied,4,,3
EMP0173,Software Engineer,25,4,1,2,0,Satisfied,3,1.0,3
EMP0174,Designer,36,9,2,3,1,Neutral,4,1.0,3
EMP0175,HR,60,3,2,1,1,Unsatisfied,5,2.0,3
EMP0176,Project Manager,35,7,3,1,1,Satisfied,4,2.0,2
EMP0177,Marketing,55,12,3,2,0,Satisfied,4,,3
EMP0178,Project Manager,47,10,1,2,0,Neutral,2,1.0,3
EMP0179,HR,57,10,4,3,0,Satisfied,4,,3
EMP0180,HR,22,9,2,2,1,Unsatisfied,1,,3
EMP0181,Data Scientist,43,5,1,2,1,Neutral,2,2.0,1
EMP0182,Marketing,45,9,5,1,1,Unsatisfied,4,1.0,3
EMP0183,Designer,56,14,2,1,1,Satisfied,1,1.0,2
EMP0184,Data Scientist,46,14,3,3,0,Neutral,2,2.0,3
EMP0185,HR,60,0,5,2,0,Neutral,2,2.0,3
EMP0186,Designer,32,9,1,2,0,Unsatisfied,1,,2
EMP0187,HR,59,13,5,2,1,Unsatisfied,4,1.0,2
EMP0188,Software Engineer,60,13,5,3,0,Neutral,5,2.0,3
EMP0189,Data Scientist,43,4,5,3,0,Unsatisfied,3,1.0,2
EMP0190,Data Scientist,33,8,1,1,1,Satisfied,2,,1
EMP0191,Data Scientist,20,14,3,1,0,Satisfied,2,2.0,2
EMP0192,Software Engineer,27,2,1,2,1,Unsatisfied,3,1.0,1
EMP0193,Software Engineer,43,1,5,2,0,Unsatisfied,2,1.0,2
EMP0194,Sales,23,12,2,2,0,Neutral,1,2.0,2
EMP0195,Data Scientist,29,0,1,2,0,Neutral,4,,3
EMP0196,Sales,47,0,2,2,0,Neutral,4,,1
EMP0197,Designer,46,12,1,1,1,Neutral,5,,3
EMP0198,Marketing,40,2,1,1,1,Neutral,4,1.0,2
EMP0199,Project Manager,47,0,4,3,1,Unsatisfied,3,2.0,1
EMP0200,Data Scientist,53,7,3,3,0,Unsatisfied,2,2.0,2
EMP0201,Sales,55,14,4,2,0,Neutral,1,2.0,2
EMP0202,Sales,40,1,2,2,0,Neutral,3,1.0,3
EMP0203,Project Manager,28,8,5,1,0,Satisfied,1,,1
EMP0204,Sales,39,14,3,1,0,Neutral,1,1.0,3
EMP0205,Software Engineer,41,5,5,2,0,Unsatisfied,2,,3
EMP0206,Data Scientist,21,3,5,1,1,Satisfied,5,2.0,1
EMP0207,Project Manager,34,11,3,1,1,Unsatisfied,5,2.0,3
EMP0208,Designer,36,14,3,1,0,Unsatisfied,2,1.0,3
EMP0209,Marketing,32,2,4,3,1,Satisfied,4,1.0,2
EMP0210,Sales,21,8,2,2,0,Unsatisfied,5,,2
EMP0211,Project Manager,56,3,5,3,1,Satisfied,4,2.0,1
EMP0212,Marketing,58,8,4,1,0,Satisfied,4,,1
EMP0213,Software Engineer,35,8,1,3,0,Satisfied,4,,3
EMP0214,Project Manager,52,3,1,1,1,Satisfied,5,1.0,3
EMP0215,Marketing,33,8,1,1,0,Neutral,4,2.0,2
EMP0216,Software Engineer,47,9,2,2,0,Neutral,4,,3
EMP0217,HR,56,13,3,2,0,Satisfied,4,,1
EMP0218,Data Scientist,33,4,2,1,1,Neutral,2,2.0,2
EMP0219,HR,60,9,3,1,0,Satisfied,4,1.0,2
EMP0220,Sales,32,5,4,1,0,Unsatisfied,1,1.0,3
EMP0221,Project Manager,48,9,5,2,0,Satisfied,5,,3
EMP0222,HR,39,6,4,3,0,Neutral,5,,2
EMP0223,Software Engineer,23,6,3,3,1,Unsatisfied,2,1.0,3
EMP0224,Marketing,38,3,3,3,1,Satisfied,1,,2
EMP0225,Designer,30,5,1,1,0,Unsatisfied,2,2.0,2
EMP0226,Software Engineer,35,3,1,1,1,Neutral,1,1.0,3
EMP0227,Data Scientist,22,0,5,2,1,Satisfied,4,1.0,2
EMP0228,Project Manager,28,15,2,2,1,Satisfied,3,1.0,1
EMP0229,Marketing,57,4,3,2,0,Neutral,5,1.0,3
EMP0230,HR,48,14,2,1,1,Satisfied,1,1.0,3
EMP0231,Marketing,45,14,1,2,0,Unsatisfied,4,2.0,2
EMP0232,Marketing,34,3,4,1,0,Satisfied,2,1.0,1
EMP0233,Marketing,59,9,5,1,0,Unsatisfied,2,1.0,1
EMP0234,Software Engineer,31,6,3,3,1,Neutral,2,1.0,2
EMP0235,Marketing,55,12,4,1,0,Neutral,5,2.0,1
EMP0236,Data Scientist,23,11,2,1,0,Unsatisfied,4,,2
EMP0237,HR,51,7,1,2,0,Neutral,1,1.0,2
EMP0238,Software Engineer,32,11,5,2,1,Satisfied,4,2.0,2
EMP0239,Marketing,41,14,5,1,1,Neutral,1,1.0,3
EMP0240,Software Engineer,46,10,1,1,0,Neutral,1,2.0,1
EMP0241,HR,58,15,4,3,0,Neutral,2,1.0,1
EMP0242,Sales,59,13,2,3,1,Satisfied,3,1.0,1
EMP0243,Project Manager,40,1,1,2,0,Neutral,4,1.0,3
EMP0244,Sales,56,3,2,3,0,Neutral,1,1.0,1
EMP0245,Software Engineer,47,11,2,3,1,Neutral,3,1.0,1
EMP0246,Project Manager,38,2,2,1,1,Satisfied,3,,3
EMP0247,Data Scientist,59,12,5,1,0,Neutral,1,1.0,2
EMP0248,Project Manager,47,4,1,2,1,Unsatisfied,4,,1
EMP0249,HR,49,6,3,2,0,Neutral,5,,2
EMP0250,Project Manager,20,6,5,1,1,Satisfied,2,1.0,1
EMP0251,Project Manager,50,9,1,3,1,Satisfied,2,1.0,3
EMP0252,Project Manager,32,0,4,3,1,Unsatisfied,1,1.0,3
EMP0253,Sales,23,8,3,1,1,Neutral,3,2.0,2
EMP0254,HR,22,13,3,2,0,Unsatisfied,3,1.0,2
EMP0255,Data Scientist,33,11,5,2,1,Neutral,2,2.0,3
EMP0256,Project Manager,32,13,3,2,1,Unsatisfied,5,1.0,2
EMP0257,Marketing,51,0,1,2,0,Unsatisfied,2,2.0,2
EMP0258,Designer,49,11,3,2,0,Satisfied,3,,1
EMP0259,Data Scientist,30,9,1,2,0,Satisfied,3,2.0,2
EMP0260,Software Engineer,25,9,2,2,1,Neutral,5,1.0,2
EMP0261,Software Engineer,40,12,4,3,0,Neutral,3,1.0,1
EMP0262,Project Manager,32,13,1,1,0,Neutral,1,,3
EMP0263,Sales,20,15,3,2,0,Neutral,2,,2
EMP0264,Project Manager,35,5,5,2,0,Neutral,5,2.0,1
EMP0265,Sales,49,2,1,2,0,Satisfied,5,,2
EMP0266,Sales,34,5,4,2,1,Satisfied,4,1.0,3
EMP0267,Project Manager,58,13,3,2,0,Satisfied,5,,2
EMP0268,HR,26,4,4,2,0,Unsatisfied,3,,2
EMP0269,Marketing,36,7,4,2,0,Unsatisfied,3,,1
EMP0270,Designer,48,3,4,3,1,Neutral,4,2.0,2
EMP0271,HR,57,5,4,3,1,Satisfied,5,1.0,3
EMP0272,HR,32,8,2,2,1,Satisfied,2,2.0,1
EMP0273,Marketing,55,7,4,2,1,Unsatisfied,4,,1
EMP0274,Designer,28,3,3,3,0,Neutral,2,,3
EMP0275,Sales,53,10,2,1,0,Satisfied,3,1.0,1
EMP0276,Designer,36,10,4,1,1,Satisfied,4,2.0,3
EMP0277,Sales,54,7,4,3,0,Satisfied,1,,2
EMP0278,Marketing,33,8,3,1,0,Neutral,5,,1
EMP0279,Designer,39,1,4,2,1,Unsatisfied,4,2.0,1
EMP0280,Software Engineer,33,11,1,2,0,Satisfied,5,,3
EMP0281,Software Engineer,48,4,1,1,1,Unsatisfied,1,1.0,2
EMP0282,Designer,60,7,5,2,0,Satisfied,3,2.0,2
EMP0283,Data Scientist,24,1,1,2,0,Neutral,4,,3
EMP0284,Data Scientist,28,7,5,3,1,Unsatisfied,3,,2
EMP0285,Project Manager,20,14,2,1,0,Neutral,2,2.0,1
EMP0286,Project Manager,28,14,4,2,1,Unsatisfied,1,1.0,3
EMP0287,HR,48,12,4,2,0,Unsatisfied,2,,3
EMP0288,Sales,51,5,2,3,1,Neutral,1,,3
EMP0289,Designer,39,5,4,1,0,Neutral,2,1.0,1
EMP0290,Marketing,25,2,4,2,0,Neutral,2,,1
EMP0291,Sales,53,12,1,3,0,Satisfied,3,1.0,2
EMP0292,HR,44,13,4,3,1,Neutral,1,,2
EMP0293,Sales,31,3,3,2,1,Neutral,3,1.0,1
EMP0294,Designer,58,2,5,1,1,Satisfied,3,1.0,2
EMP0295,Marketing,26,5,4,1,0,Unsatisfied,4,1.0,2
EMP0296,Data Scientist,20,4,3,1,1,Satisfied,3,,3
EMP0297,Marketing,28,14,3,1,0,Satisfied,2,,1
EMP0298,Sales,35,14,5,2,0,Neutral,5,,2
EMP0299,Marketing,30,14,2,1,0,Neutral,2,,3
EMP0300,Data Scientist,28,0,1,1,0,Satisfied,2,,1
EMP0301,Designer,21,4,3,2,1,Neutral,3,2.0,2
EMP0302,HR,56,13,2,2,1,Unsatisfied,5,2.0,1
EMP0303,Software Engineer,25,10,3,3,0,Satisfied,2,,3
EMP0304,Software Engineer,21,0,1,3,1,Neutral,2,1.0,2
EMP0305,Project Manager,50,2,4,2,1,Satisfied,5,2.0,2
EMP0306,Data Scientist,50,3,5,3,1,Unsatisfied,5,1.0,3
EMP0307,Marketing,27,10,2,1,1,Unsatisfied,5,,2
EMP0308,Software Engineer,31,14,4,2,1,Satisfied,2,1.0,2
EMP0309,Designer,45,11,3,1,1,Satisfied,4,2.0,3
EMP0310,Sales,23,8,2,2,1,Satisfied,2,2.0,1
EMP0311,Designer,42,14,3,1,1,Neutral,1,1.0,3
EMP0312,Data Scientist,37,8,1,2,0,Neutral,4,1.0,3
EMP0313,Sales,40,7,5,1,1,Neutral,1,2.0,3
EMP0314,HR,23,1,3,3,1,Satisfied,5,1.0,3
EMP0315,Marketing,20,3,3,2,1,Satisfied,4,,1
EMP0316,Designer,51,8,5,2,0,Neutral,5,1.0,1
EMP0317,Marketing,46,1,2,1,1,Neutral,1,2.0,3
EMP0318,HR,37,7,2,2,1,Unsatisfied,2,1.0,1
EMP0319,Project Manager,42,4,2,1,0,Satisfied,5,,2
EMP0320,HR,53,15,4,1,1,Neutral,2,1.0,3
EMP0321,Marketing,26,0,2,1,1,Neutral,3,2.0,1
EMP0322,Marketing,48,9,3,2,0,Unsatisfied,5,,3
EMP0323,Marketing,58,0,3,1,1,Neutral,5,,1
EMP0324,HR,52,7,1,2,1,Unsatisfied,2,2.0,1
EMP0325,Marketing,52,13,4,3,0,Unsatisfied,1,,3
EMP0326,Designer,49,7,2,1,1,Satisfied,3,2.0,1
EMP0327,Marketing,55,4,2,3,0,Satisfied,4,1.0,1
EMP0328,Designer,33,0,2,3,1,Satisfied,3,1.0,2
EMP0329,HR,24,12,1,3,1,Neutral,4,2.0,1
EMP0330,Sales,21,15,5,1,1,Unsatisfied,5,,2
EMP0331,Software Engineer,55,12,5,1,0,Satisfied,3,,3
EMP0332,Sales,44,10,5,2,1,Satisfied,5,2.0,2
EMP0333,Software Engineer,24,7,4,2,1,Neutral,4,,3
EMP0334,Marketing,25,6,2,3,0,Unsatisfied,4,2.0,1
EMP0335,Designer,40,0,4,3,1,Satisfied,3,2.0,3
EMP0336,Sales,59,3,2,1,1,Satisfied,1,1.0,1
EMP0337,Software Engineer,22,9,4,3,1,Unsatisfied,2,2.0,1
EMP0338,Designer,47,15,5,2,0,Neutral,2,2.0,1
EMP0339,Sales,31,15,2,1,0,Unsatisfied,1,,3
EMP0340,Designer,41,5,5,3,0,Neutral,5,1.0,1
EMP0341,Data Scientist,52,0,1,3,1,Unsatisfied,2,,3
EMP0342,HR,48,0,2,1,1,Satisfied,4,,3
EMP0343,Project Manager,41,14,5,2,1,Unsatisfied,3,,1
EMP0344,Data Scientist,21,7,3,3,1,Satisfied,5,,2
EMP0345,Software Engineer,49,15,2,1,0,Satisfied,4,2.0,1
EMP0346,Software Engineer,32,7,4,3,0,Unsatisfied,5,,3
EMP0347,Marketing,40,12,1,2,1,Unsatisfied,3,2.0,2
EMP0348,Sales,22,10,4,3,1,Unsatisfied,3,1.0,2
EMP0349,Project Manager,44,9,3,1,1,Neutral,5,1.0,3
EMP0350,HR,41,15,1,2,1,Unsatisfied,4,1.0,3
EMP0351,Designer,37,11,1,3,1,Unsatisfied,2,1.0,2
EMP0352,HR,54,12,3,2,0,Neutral,3,,2
EMP0353,Software Engineer,31,3,1,1,0,Satisfied,2,,3
EMP0354,Data Scientist,53,13,2,2,1,Unsatisfied,5,1.0,2
EMP0355,Project Manager,23,13,5,2,1,Satisfied,3,2.0,2
EMP0356,Sales,58,3,1,1,1,Satisfied,2,,3
EMP0357,HR,26,7,1,1,0,Neutral,2,2.0,3
EMP0358,Designer,46,7,3,2,1,Unsatisfied,3,2.0,1
EMP0359,Sales,20,7,3,2,0,Neutral,4,1.0,2
EMP0360,HR,56,0,2,2,1,Satisfied,2,2.0,3
EMP0361,Sales,28,15,1,2,0,Satisfied,5,2.0,1
EMP0362,Sales,39,2,1,2,1,Satisfied,5,,2
EMP0363,Designer,22,10,4,2,1,Satisfied,4,,2
EMP0364,Project Manager,32,4,3,3,1,Unsatisfied,2,1.0,3
EMP0365,Project Manager,28,9,1,1,0,Neutral,2,2.0,1
EMP0366,Sales,22,6,4,2,0,Neutral,2,1.0,1
EMP0367,Marketing,53,2,5,2,0,Neutral,2,,1
EMP0368,Sales,33,11,2,2,0,Neutral,1,2.0,3
EMP0369,Data Scientist,34,5,1,3,1,Satisfied,2,2.0,3
EMP0370,Software Engineer,50,0,4,1,0,Neutral,5,2.0,3
EMP0371,Data Scientist,28,1,1,2,1,Satisfied,5,,2
EMP0372,Marketing,51,7,4,2,0,Unsatisfied,4,1.0,3
EMP0373,Software Engineer,35,0,5,3,0,Neutral,4,,3
EMP0374,Sales,39,8,3,2,1,Unsatisfied,2,1.0,2
EMP0375,Software Engineer,58,14,1,3,1,Unsatisfied,3,2.0,1
EMP0376,Designer,34,3,3,1,0,Neutral,2,2.0,3
EMP0377,Designer,48,4,1,2,0,Neutral,4,,1
EMP0378,Designer,52,0,5,3,0,Unsatisfied,5,2.0,3
EMP0379,Designer,59,8,5,3,1,Neutral,1,2.0,3
EMP0380,Marketing,32,14,2,3,0,Neutral,1,,1
EMP0381,Designer,41,4,3,2,1,Unsatisfied,2,2.0,2
EMP0382,Project Manager,34,14,2,2,0,Neutral,4,1.0,1
EMP0383,HR,41,8,3,1,0,Neutral,2,2.0,2
EMP0384,Sales,55,9,3,2,1,Satisfied,4,,1
EMP0385,Designer,50,8,2,3,1,Neutral,4,,1
EMP0386,Project Manager,25,9,1,3,0,Unsatisfied,2,1.0,2
EMP0387,Sales,21,12,3,2,1,Neutral,5,,2
EMP0388,Sales,44,11,5,3,0,Neutral,3,2.0,1
EMP0389,Sales,28,0,5,3,1,Neutral,3,1.0,3
EMP0390,Software Engineer,54,8,5,2,0,Satisfied,1,1.0,1
EMP0391,Project Manager,55,12,3,2,0,Satisfied,3,,2
EMP0392,Marketing,26,10,5,2,0,Unsatisfied,1,1.0,3
EMP0393,HR,41,7,5,1,0,Neutral,4,2.0,2
EMP0394,Sales,50,4,4,1,1,Satisfied,5,,1
EMP0395,Project Manager,55,12,2,2,1,Neutral,5,1.0,2
EMP0396,Marketing,22,2,3,2,0,Satisfied,5,1.0,3
EMP0397,Data Scientist,33,11,5,1,0,Unsatisfied,1,2.0,2
EMP0398,Project Manager,21,4,1,3,0,Neutral,1,,1
